target_id	length	eff_length	est_counts	tpm
ENST00000356275	270	102.088	0	0
ENST00000382835	682	507.321	0	0
ENST00000361371	7685	7510.32	3.35735	361.669
ENST00000357985	1088	913.321	0	0
ENST00000366423	333	159.681	1	5066.65
ENST00000380631	780	605.321	0	0
ENST00000382830	293	123.138	0	0
ENST00000381692	2463	2288.32	0	0
ENST00000389124	2712	2537.32	3	956.574
ENST00000380708	1464	1289.32	5.41268e-06	0.00339644
ENST00000381815	3341	3166.32	3.72938	952.915
ENST00000355666	7712	7537.32	0	0
ENST00000380612	1071	896.321	0	0
ENST00000363922	136	36.619	0	0
ENST00000380747	709	534.321	0	0
ENST00000382828	224	65.0196	0	0
ENST00000360542	1193	1018.32	0	0
ENST00000380604	632	457.321	0	0
ENST00000380931	5027	4852.32	0	0
ENST00000343528	1101	926.321	0	0
ENST00000349485	2871	2696.32	0	0
ENST00000354192	3167	2992.32	0	0
ENST00000356577	8813	8638.32	0	0
ENST00000354749	9084	8909.32	0.0190845	1.73305
ENST00000382264	1389	1214.32	0	0
ENST00000380221	1763	1588.32	1.68001	855.75
ENST00000349499	3806	3631.32	1.98775	442.865
ENST00000354333	2422	2247.32	0	0
ENST00000381831	3490	3315.32	0	0
ENST00000381135	2526	2351.32	0	0
ENST00000355153	2913	2738.32	0	0
ENST00000360938	3766	3591.32	5	1126.39
ENST00000381554	1617	1442.32	0	0
ENST00000352178	2583	2408.32	0	0
ENST00000384369	107	36.55	0	0
ENST00000360525	6998	6823.32	5.3167	630.404
ENST00000359568	10560	10385.3	0.105532	8.22121
ENST00000357401	3412	3237.32	0	0
ENST00000382751	10832	10657.3	11.1456	846.115
ENST00000380095	1100	925.321	0	0
ENST00000346798	3467	3292.32	0	0
ENST00000382348	2277	2102.32	0	0
ENST00000381291	5437	5262.32	0	0
ENST00000358356	2720	2545.32	0	0
ENST00000380618	2763	2588.32	0	0
ENST00000384418	136	36.619	0	0
ENST00000381181	2261	2086.32	2.59346	1005.71
ENST00000380328	1875	1700.32	0	0
ENST00000359624	2353	2178.32	0	0
ENST00000363092	109	36.7619	0	0
ENST00000347667	8764	8589.32	2.56232	241.35
ENST00000356396	2995	2820.32	0	0
ENST00000380748	829	654.321	0	0
ENST00000361866	4238	4063.32	0.489567	97.4773
ENST00000355680	2688	2513.32	1.26286	406.518
ENST00000380800	7605	7430.32	0	0
ENST00000364155	73	26.75	0	0
ENST00000357345	7059	6884.32	0	0
ENST00000357903	3543	3368.32	0	0
ENST00000380588	2066	1891.32	0	0
ENST00000380010	1884	1709.32	0	0
ENST00000362160	84	26.3077	0	0
ENST00000384075	107	36.55	0	0
ENST00000344693	1088	913.321	1	885.828
ENST00000382373	878	703.321	0	0
ENST00000351429	4781	4606.32	0	0
ENST00000344691	7274	7099.32	9.13354	1040.87
ENST00000359726	3294	3119.32	0	0
ENST00000384370	135	36.4878	0	0
ENST00000342449	12929	12754.3	12.116	768.555
ENST00000381283	1116	941.321	0	0
ENST00000358918	2366	2191.32	0	0
ENST00000381540	1482	1307.32	0	0
ENST00000362728	107	36.55	1	22135.3
ENST00000355189	673	498.321	0	0
ENST00000382357	2578	2403.32	0	0
ENST00000382238	1127	952.321	0	0
ENST00000360697	6604	6429.32	3	377.51
ENST00000384685	113	40.7619	0	0
ENST00000382499	7094	6919.32	0	0
ENST00000382378	602	427.321	0	0
ENST00000381318	17015	16840.3	0	0
ENST00000360214	3936	3761.32	0	0
ENST00000389125	3140	2965.32	0	0
ENST00000355459	749	574.321	0	0
ENST00000384772	121	41.8	0	0
ENST00000382699	1668	1493.32	0	0
ENST00000380713	768	593.321	0	0
ENST00000381285	6107	5932.32	0	0
ENST00000380486	6345	6170.32	3.24998	426.134
ENST00000358455	498	323.321	2	5004.6
ENST00000349048	2912	2737.32	14.2688	4217.29
ENST00000382822	318	145.325	0	0
ENST00000380276	940	765.321	0	0
ENST00000381947	1354	1179.32	0	0
ENST00000349112	1616	1441.32	0	0
ENST00000345496	3566	3391.32	8	1908.51
ENST00000352483	4016	3841.32	0	0
ENST00000366093	805	630.321	0	0
ENST00000380671	2080	1905.32	0	0
ENST00000384745	107	36.55	0	0
ENST00000348354	1456	1281.32	2.38509	1505.98
ENST00000360731	3860	3685.32	0.000421738	0.0925849
ENST00000381839	3469	3294.32	0	0
ENST00000355480	5924	5749.32	0	0
ENST00000342757	3004	2829.32	0.860543	246.073
ENST00000359341	492	317.321	0	0
ENST00000343118	2606	2431.32	0	0
ENST00000382377	917	742.321	1.03344	1126.33
ENST00000352957	1110	935.321	3	2594.98
ENST00000419826	699	524.321	0	0
ENST00000400421	1106	931.321	0	0
ENST00000424890	2854	2679.32	0	0
ENST00000391307	165	35.5294	0	0
ENST00000397637	2880	2705.32	1.23973	370.751
ENST00000398911	4914	4739.32	0	0
ENST00000400564	1382	1207.32	0	0
ENST00000422850	1003	828.321	0	0
ENST00000397886	755	580.321	1.86346	2597.92
ENST00000399353	3913	3738.32	0	0
ENST00000398061	3595	3420.32	1.91152	452.151
ENST00000398229	1684	1509.32	0	0
ENST00000426029	127	40.5667	0	0
ENST00000418933	415	240.321	0	0
ENST00000419219	900	725.321	0	0
ENST00000418336	459	284.321	0	0
ENST00000398397	1342	1167.32	1.26061	873.699
ENST00000399352	5408	5233.32	0	0
ENST00000400274	7023	6848.32	0	0
ENST00000419694	1046	871.321	1	928.527
ENST00000400183	5341	5166.32	2.68313e-06	0.000420178
ENST00000423967	697	522.321	0	0
ENST00000423274	691	516.321	0	0
ENST00000398234	1783	1608.32	0	0
ENST00000397857	2813	2638.32	11.542	3539.37
ENST00000397911	1171	996.321	0	0
ENST00000424290	697	522.321	0	0
ENST00000417181	462	287.321	0	0
ENST00000399208	1165	990.321	0	0
ENST00000399349	5191	5016.32	0	0
ENST00000399889	867	692.321	0	0
ENST00000398063	5767	5592.32	0	0
ENST00000405964	896	721.321	1	1121.62
ENST00000400128	2421	2246.32	0	0
ENST00000422911	6714	6539.32	0	0
ENST00000417335	1412	1237.32	0	0
ENST00000406538	945	770.321	0	0
ENST00000400477	534	359.321	0	0
ENST00000399442	612	437.321	0	0
ENST00000398158	2453	2278.32	7.52735	2673.01
ENST00000414659	2539	2364.32	0	0
ENST00000398085	796	621.321	2.83708	3694.28
ENST00000424582	201	49.8588	0	0
ENST00000399935	2093	1918.32	0	0
ENST00000419324	266	99.4089	0	0
ENST00000398457	3119	2944.32	5	1373.91
ENST00000420455	3062	2887.32	0	0
ENST00000397850	3178	3003.32	0	0
ENST00000399272	2164	1989.32	0	0
ENST00000398598	2850	2675.32	46.5609	14080.5
ENST00000415023	519	344.321	0	0
ENST00000417954	3572	3397.32	1	238.142
ENST00000397692	433	258.321	0	0
ENST00000391617	588	413.321	0	0
ENST00000400178	700	525.321	0	0
ENST00000418301	422	247.321	0	0
ENST00000390834	107	36.55	0	0
ENST00000416179	449	274.321	0	0
ENST00000398499	5806	5631.32	0	0
ENST00000398505	6846	6671.32	5.15313	624.931
ENST00000419881	910	735.321	0	0
ENST00000398932	2747	2572.32	0	0
ENST00000422473	2336	2161.32	0	0
ENST00000397826	880	705.321	1.87585	2151.72
ENST00000398511	5608	5433.32	0	0
ENST00000413813	468	293.321	2	5516.45
ENST00000424093	726	551.321	0	0
ENST00000418755	499	324.321	0	0
ENST00000398934	2815	2640.32	0	0
ENST00000411460	524	349.321	0	0
ENST00000411566	808	633.321	0	0
ENST00000423808	874	699.321	0	0
ENST00000423045	1183	1008.32	0	0
ENST00000400135	2136	1961.32	0	0
ENST00000397854	2592	2417.32	0	0
ENST00000397728	4936	4761.32	0	0
ENST00000412914	571	396.321	0	0
ENST00000406229	144	35.7037	0	0
ENST00000398224	1671	1496.32	0	0
ENST00000406845	1804	1629.32	0	0
ENST00000413718	575	400.321	0	0
ENST00000399934	1964	1789.32	0	0
ENST00000413017	627	452.321	0	0
ENST00000411694	863	688.321	0	0
ENST00000398646	1026	851.321	0	0
ENST00000397928	6221	6046.32	0	0
ENST00000408914	1164	989.321	0	0
ENST00000398927	665	490.321	0	0
ENST00000407780	7080	6905.32	7	820.138
ENST00000415147	159	31.9368	0	0
ENST00000425336	873	698.321	1.65222	1914.19
ENST00000411330	114	39.9091	0	0
ENST00000398548	6654	6479.32	7.50807	937.501
ENST00000397916	2114	1939.32	0	0
ENST00000410986	109	36.7619	0	0
ENST00000400368	1238	1063.32	0	0
ENST00000420364	989	814.321	0	0
ENST00000419906	465	290.321	1	2786.73
ENST00000417007	719	544.321	0.618865	919.843
ENST00000397701	744	569.321	1	1421.07
ENST00000423276	461	286.321	0	0
ENST00000416218	2007	1832.32	0	0
ENST00000421454	338	163.321	0	0
ENST00000419093	517	342.321	0.368412	870.709
ENST00000400562	808	633.321	1	1277.47
ENST00000398098	1095	920.321	0	0
ENST00000398652	1125	950.321	0	0
ENST00000398132	826	651.321	0	0
ENST00000397887	2413	2238.32	1.13654	410.804
ENST00000418544	335	161.681	0	0
ENST00000412442	529	354.321	0	0
ENST00000412102	2033	1858.32	0	0
ENST00000411427	1116	941.321	0	0
ENST00000399784	1000	825.321	0	0
ENST00000400485	4246	4071.32	1.48156e-07	2.94412e-05
ENST00000425147	611	436.321	11	20396.7
ENST00000397846	422	247.321	0	0
ENST00000424569	821	646.321	0	0
ENST00000400169	1445	1270.32	0	0
ENST00000393804	1474	1299.32	0	0
ENST00000424255	564	389.321	0	0
ENST00000398165	2605	2430.32	0	0
ENST00000398925	532	357.321	0	0
ENST00000411998	2228	2053.32	2.64812	1043.41
ENST00000398232	1885	1710.32	0	0
ENST00000411496	893	718.321	1.51104	1701.88
ENST00000400127	2239	2064.32	0	0
ENST00000416555	544	369.321	0	0
ENST00000397994	1279	1104.32	0	0
ENST00000391618	447	272.321	0	0
ENST00000420965	728	553.321	0	0
ENST00000423596	246	82.2431	0	0
ENST00000418942	684	509.321	0	0
ENST00000418029	788	613.321	0	0
ENST00000398341	3094	2919.32	0	0
ENST00000410635	284	115.183	0	0
ENST00000418394	796	621.321	0	0
ENST00000416641	516	341.321	0	0
ENST00000389861	5031	4856.32	0	0
ENST00000397746	1878	1703.32	0	0
ENST00000417060	1072	897.321	0	0
ENST00000398928	715	540.321	0	0
ENST00000399299	1033	858.321	0.000313462	0.295467
ENST00000389194	7749	7574.32	0.0259641	2.77333
ENST00000391262	107	36.55	0	0
ENST00000421771	1078	903.321	0	0
ENST00000399292	850	675.321	0	0
ENST00000411867	3980	3805.32	0	0
ENST00000424017	479	304.321	0	0
ENST00000400377	2907	2732.32	0	0
ENST00000398133	600	425.321	0	0
ENST00000400558	1090	915.321	0	0
ENST00000399010	2115	1940.32	3.48649	1453.74
ENST00000399139	1231	1056.32	0	0
ENST00000399136	1330	1155.32	0	0
ENST00000416842	487	312.321	0	0
ENST00000400374	1643	1468.32	0	0
ENST00000400532	1757	1582.32	1	511.303
ENST00000418103	604	429.321	0	0
ENST00000400546	8135	7960.32	0	0
ENST00000422357	704	529.321	0	0
ENST00000411956	821	646.321	1.1449	1433.15
ENST00000397956	1634	1459.32	0	0
ENST00000417871	1820	1645.32	0	0
ENST00000400559	1593	1418.32	0	0
ENST00000424441	1356	1181.32	0	0
ENST00000398600	3470	3295.32	0	0
ENST00000420241	934	759.321	0	0
ENST00000412579	818	643.321	0	0
ENST00000422787	754	579.321	0	0
ENST00000413645	550	375.321	0	0
ENST00000419952	522	347.321	0	0
ENST00000424219	469	294.321	0	0
ENST00000413758	750	575.321	0	0
ENST00000423206	523	348.321	0	0
ENST00000412942	488	313.321	0	0
ENST00000399286	1204	1029.32	0	0
ENST00000416468	188	42.2152	0	0
ENST00000399926	749	574.321	0	0
ENST00000416067	1599	1424.32	1	568.022
ENST00000399975	2960	2785.32	0	0
ENST00000397748	1955	1780.32	0	0
ENST00000400424	5516	5341.32	0	0
ENST00000411943	390	215.321	0	0
ENST00000399973	581	406.321	0	0
ENST00000415824	407	232.321	0	0
ENST00000420666	422	247.321	0	0
ENST00000413933	1850	1675.32	0	0
ENST00000400090	647	472.321	0	0
ENST00000419044	516	341.321	0	0
ENST00000397907	410	235.321	0	0
ENST00000419299	829	654.321	0	0
ENST00000400337	5436	5261.32	2.5665	394.656
ENST00000397841	2303	2128.32	0	0
ENST00000416722	455	280.321	0	0
ENST00000420186	2603	2428.32	0	0
ENST00000398907	4809	4634.32	0	0
ENST00000416182	480	305.321	0	0
ENST00000398225	1963	1788.32	0	0
ENST00000391621	1149	974.321	0	0
ENST00000413862	1543	1368.32	0	0
ENST00000398948	777	602.321	0	0
ENST00000425376	509	334.321	0	0
ENST00000399928	1904	1729.32	0	0
ENST00000398585	3240	3065.32	0	0
ENST00000415847	1178	1003.32	0	0
ENST00000418874	346	171.321	0	0
ENST00000424921	475	300.321	1	2693.94
ENST00000390690	704	529.321	0	0
ENST00000416327	795	620.321	0	0
ENST00000415997	541	366.321	0	0
ENST00000424933	422	247.321	0	0
ENST00000413190	320	147.325	0	0
ENST00000400454	8552	8377.32	0	0
ENST00000398647	864	689.321	0	0
ENST00000399102	688	513.321	0	0
ENST00000400087	826	651.321	0	0
ENST00000399913	3234	3059.32	0	0
ENST00000419845	577	402.321	0	0
ENST00000420072	2558	2383.32	0	0
ENST00000397787	3425	3250.32	0	0
ENST00000389690	694	519.321	0	0
ENST00000420074	1947	1772.32	3.34915	1528.85
ENST00000397708	6333	6158.32	1.60012e-05	0.00210215
ENST00000417042	727	552.321	0	0
ENST00000414877	428	253.321	0	0
ENST00000400202	7671	7496.32	0.000436686	0.0471296
ENST00000415026	557	382.321	0	0
ENST00000399000	4398	4223.32	0	0
ENST00000398116	372	197.321	0	0
ENST00000399284	666	491.321	0	0
ENST00000412906	952	777.321	1	1040.81
ENST00000398905	4806	4631.32	0	0
ENST00000398236	1776	1601.32	0	0
ENST00000397680	2624	2449.32	0	0
ENST00000398449	2998	2823.32	0	0
ENST00000416002	879	704.321	0	0
ENST00000423658	188	42.2152	0	0
ENST00000419069	612	437.321	0	0
ENST00000398998	988	813.321	2.69814	2683.96
ENST00000417133	5023	4848.32	0	0
ENST00000417564	6967	6792.32	0	0
ENST00000411989	1790	1615.32	0	0
ENST00000399137	1942	1767.32	0	0
ENST00000389863	3563	3388.32	0	0
ENST00000424837	576	401.321	0	0
ENST00000416754	346	171.321	0	0
ENST00000400375	1215	1040.32	0	0
ENST00000420068	505	330.321	0	0
ENST00000397184	596	421.321	1.20232	2308.77
ENST00000422891	786	611.321	0	0
ENST00000425521	607	432.321	1.84687	3456.24
ENST00000400372	1150	975.321	0	0
ENST00000400427	5442	5267.32	0	0
ENST00000400093	1179	1004.32	0	0
ENST00000399212	3258	3083.32	0	0
ENST00000399338	3115	2940.32	3.43737e-08	9.45811e-06
ENST00000415238	640	465.321	1	1738.68
ENST00000399921	5769	5594.32	4.83533e-05	0.00699281
ENST00000397932	5216	5041.32	0	0
ENST00000413721	525	350.321	0	0
ENST00000423389	525	350.321	0	0
ENST00000397743	1834	1659.32	0	0
ENST00000423089	438	263.321	0	0
ENST00000397679	2900	2725.32	0	0
ENST00000397628	954	779.321	0	0
ENST00000397683	1674	1499.32	0	0
ENST00000416447	843	668.321	1	1210.56
ENST00000400305	1717	1542.32	0	0
ENST00000397898	1779	1604.32	0	0
ENST00000400014	1041	866.321	0	0
ENST00000415269	217	60.198	0	0
ENST00000398956	1590	1415.32	0	0
ENST00000398208	2122	1947.32	0	0
ENST00000411605	438	263.321	0	0
ENST00000413881	710	535.321	0	0
ENST00000422875	5267	5092.32	2.53459	402.685
ENST00000399240	1590	1415.32	0	0
ENST00000421795	191	44.4224	0	0
ENST00000405436	1684	1509.32	2.74594	1471.91
ENST00000398632	2211	2036.32	0	0
ENST00000412240	349	174.321	0	0
ENST00000421541	1151	976.321	0	0
ENST00000399103	656	481.321	2.62809e-05	0.0441751
ENST00000419467	465	290.321	0	0
ENST00000400314	2202	2027.32	0	0
ENST00000399358	958	783.321	0	0
ENST00000398910	4954	4779.32	0	0
ENST00000411932	720	545.321	0	0
ENST00000420255	897	722.321	0	0
ENST00000419664	509	334.321	0	0
ENST00000399914	3624	3449.32	0	0
ENST00000418954	717	542.321	0	0
ENST00000425058	635	460.321	0	0
ENST00000423214	839	664.321	0.47835	582.561
ENST00000399001	821	646.321	0.400162	500.912
ENST00000408989	5262	5087.32	0	0
ENST00000417979	504	329.321	0	0
ENST00000400308	1911	1736.32	0	0
ENST00000399191	838	663.321	0	0
ENST00000425085	1352	1177.32	0	0
ENST00000399017	10363	10188.3	9.48309	753.044
ENST00000400362	7540	7365.32	4.68681	514.824
ENST00000399201	1212	1037.32	0	0
ENST00000412833	936	761.321	0	0
ENST00000423310	586	411.321	0	0
ENST00000399237	822	647.321	0	0
ENST00000398367	1733	1558.32	0.00310416	1.61161
ENST00000397852	2769	2594.32	0	0
ENST00000417138	424	249.321	0	0
ENST00000390235	94	30.8125	0	0
ENST00000398168	2514	2339.32	0	0
ENST00000400379	4246	4071.32	0	0
ENST00000397893	520	345.321	3.57476	8375.22
ENST00000400075	4814	4639.32	4	697.555
ENST00000397638	2131	1956.32	0	0
ENST00000399355	4003	3828.32	3.91845	828.091
ENST00000400211	421	246.321	0	0
ENST00000399925	692	517.321	0	0
ENST00000397961	3390	3215.32	0	0
ENST00000398938	2583	2408.32	1.20754	405.659
ENST00000422749	1185	1010.32	0	0
ENST00000400166	1080	905.321	0	0
ENST00000400043	735	560.321	0	0
ENST00000397763	3101	2926.32	0	0
ENST00000424203	3571	3396.32	0	0
ENST00000419241	779	604.321	0	0
ENST00000419868	521	346.321	0	0
ENST00000398343	494	319.321	0.665478	1686.09
ENST00000401402	1558	1383.32	0	0
ENST00000398897	4651	4476.32	0	0
ENST00000399804	4127	3952.32	6.03822	1236.03
ENST00000406413	156	33.241	0	0
ENST00000417963	872	697.321	0	0
ENST00000400583	932	757.321	0	0
ENST00000417820	1031	856.321	1	944.792
ENST00000399367	5722	5547.32	0	0
ENST00000423221	624	449.321	0	0
ENST00000423581	494	319.321	0.206328	522.761
ENST00000400819	433	258.321	0	0
ENST00000399135	1752	1577.32	2	1025.85
