geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
STAU1	ENSG00000124214	OTUD6B	ENSG00000155100	0	1	ENST00000404789_0:255_ENST00000340954_1963:3334;ENST00000404789_0:255_ENST00000347458_1765:3136;ENST00000404789_0:255_ENST00000360426_1840:3211;ENST00000617869_0:423_ENST00000347458_1765:3136;ENST00000285420_0:423_ENST00000347458_1765:3136;ENST00000615618_0:423_ENST00000347458_1765:3136;ENST00000617869_0:423_ENST00000340954_1963:3334;ENST00000285420_0:423_ENST00000340954_1963:3334;ENST00000615618_0:423_ENST00000340954_1963:3334;ENST00000615618_0:423_ENST00000614381_1501:3054;ENST00000285420_0:423_ENST00000614381_1501:3054;ENST00000617869_0:423_ENST00000614381_1501:3054;ENST00000615618_0:423_ENST00000371828_1858:3411;ENST00000285420_0:423_ENST00000371828_1858:3411;ENST00000617869_0:423_ENST00000371828_1858:3411;ENST00000404789_0:255_ENST00000614381_1501:3054;ENST00000404789_0:255_ENST00000371828_1858:3411;ENST00000617869_0:423_ENST00000371792_1759:3130;ENST00000285420_0:423_ENST00000371792_1759:3130;ENST00000615618_0:423_ENST00000371792_1759:3130;ENST00000404789_0:255_ENST00000371802_1783:3154;ENST00000404789_0:255_ENST00000371792_1759:3130;ENST00000404789_0:255_ENST00000371856_2129:3684;ENST00000617869_0:423_ENST00000371802_1783:3154;ENST00000615618_0:423_ENST00000371802_1783:3154;ENST00000285420_0:423_ENST00000371802_1783:3154;ENST00000285420_0:423_ENST00000371856_2129:3684;ENST00000615618_0:423_ENST00000371856_2129:3684;ENST00000617869_0:423_ENST00000371856_2129:3684;ENST00000617869_0:423_ENST00000360426_1840:3211;ENST00000615618_0:423_ENST00000360426_1840:3211;ENST00000285420_0:423_ENST00000360426_1840:3211
RPF1	ENSG00000117133	PRKACB	ENSG00000142875	0	1	ENST00000370685_0:1162_ENST00000370654_381:1385;ENST00000370682_0:973_ENST00000370654_381:1385;ENST00000394839_0:881_ENST00000370654_381:1385;ENST00000394838_0:979_ENST00000370654_381:1385;ENST00000370689_0:1194_ENST00000370654_381:1385;ENST00000610703_0:925_ENST00000370654_381:1385;ENST00000446538_0:982_ENST00000370654_381:1385;ENST00000614872_0:989_ENST00000370654_381:1385;ENST00000610457_0:891_ENST00000370654_381:1385
LPP	ENSG00000145012	ETV5	ENSG00000244405	0	1	ENST00000306376_0:380_ENST00000618621_1835:18277;ENST00000306376_0:380_ENST00000640853_1835:18277;ENST00000413301_0:309_ENST00000617246_1778:18220;ENST00000421809_0:267_ENST00000617246_1778:18220;ENST00000434744_0:426_ENST00000617246_1778:18220;ENST00000421809_0:267_ENST00000640853_1835:18277;ENST00000421809_0:267_ENST00000618621_1835:18277;ENST00000440773_0:257_ENST00000617246_1778:18220;ENST00000434744_0:426_ENST00000640853_1835:18277;ENST00000434744_0:426_ENST00000618621_1835:18277;ENST00000413301_0:309_ENST00000618621_1835:18277;ENST00000413301_0:309_ENST00000640853_1835:18277;ENST00000306376_0:380_ENST00000617246_1778:18220;ENST00000440773_0:257_ENST00000618621_1835:18277;ENST00000440773_0:257_ENST00000640853_1835:18277;ENST00000422039_0:301_ENST00000617246_1778:18220;ENST00000422039_0:301_ENST00000640853_1835:18277;ENST00000422039_0:301_ENST00000618621_1835:18277
NRDC	ENSG00000078618	EPS15	ENSG00000085832	0	1	ENST00000371730_0:1490_ENST00000539524_633:3417;ENST00000371733_0:1979_ENST00000539524_633:3417;ENST00000371733_0:1979_ENST00000354831_1106:3895;ENST00000371733_0:1979_ENST00000352171_902:3691;ENST00000371730_0:1490_ENST00000352171_902:3691;ENST00000371730_0:1490_ENST00000354831_1106:3895;ENST00000371733_0:1979_ENST00000544028_1034:3819;ENST00000371730_0:1490_ENST00000544028_1034:3819
SLC38A7	ENSG00000103042	PLAA	ENSG00000137055	0	1	ENST00000397292_0:1457_ENST00000219320_612:4392;ENST00000520884_0:1227_ENST00000570101_769:4549;ENST00000520884_0:1227_ENST00000219320_612:4392;ENST00000520884_0:1227_ENST00000563196_183:582;ENST00000520884_0:1227_ENST00000564391_99:731;ENST00000397292_0:1457_ENST00000570101_769:4549;ENST00000397292_0:1457_ENST00000563196_183:582;ENST00000520884_0:1227_ENST00000564100_753:2867;ENST00000397292_0:1457_ENST00000564391_99:731;ENST00000397292_0:1457_ENST00000564100_753:2867
EPS8L2	ENSG00000177106	GBA	ENSG00000177628	0	1	ENST00000533256_0:1143_ENST00000428024_667:1817;ENST00000650127_0:919_ENST00000428024_667:1817;ENST00000530636_0:1019_ENST00000368373_710:2276;ENST00000614442_0:1063_ENST00000368373_710:2276;ENST00000318562_0:1022_ENST00000368373_710:2276;ENST00000614442_0:1063_ENST00000428024_667:1817;ENST00000530636_0:1019_ENST00000327247_821:2387;ENST00000650127_0:919_ENST00000427500_604:2063;ENST00000530636_0:1019_ENST00000428024_667:1817;ENST00000533256_0:1143_ENST00000327247_821:2387;ENST00000526198_0:856_ENST00000427500_604:2063;ENST00000650127_0:919_ENST00000368373_710:2276;ENST00000526198_0:856_ENST00000368373_710:2276;ENST00000318562_0:1022_ENST00000427500_604:2063;ENST00000614442_0:1063_ENST00000327247_821:2387;ENST00000533256_0:1143_ENST00000368373_710:2276;ENST00000650127_0:919_ENST00000327247_821:2387;ENST00000530636_0:1019_ENST00000427500_604:2063;ENST00000526198_0:856_ENST00000327247_821:2387;ENST00000318562_0:1022_ENST00000327247_821:2387;ENST00000614442_0:1063_ENST00000427500_604:2063;ENST00000526198_0:856_ENST00000428024_667:1817;ENST00000533256_0:1143_ENST00000427500_604:2063;ENST00000318562_0:1022_ENST00000428024_667:1817
BAZ2A	ENSG00000076108	KLC1	ENSG00000126214	2	0	ENST00000551996_0:558_ENST00000555856_0:535;ENST00000551996_0:558_ENST00000553436_0:630;ENST00000551996_0:558_ENST00000553325_0:976;ENST00000549884_0:1698_ENST00000555856_0:535;ENST00000549884_0:1698_ENST00000553436_0:630;ENST00000549884_0:1698_ENST00000553325_0:976;ENST00000551812_0:1809_ENST00000555856_0:535;ENST00000551812_0:1809_ENST00000553436_0:630;ENST00000551812_0:1809_ENST00000553325_0:976;ENST00000379441_0:1706_ENST00000555856_0:535;ENST00000379441_0:1706_ENST00000553436_0:630;ENST00000379441_0:1706_ENST00000553325_0:976;ENST00000551996_0:558_ENST00000537046_77:875;ENST00000549884_0:1698_ENST00000537046_77:875;ENST00000551812_0:1809_ENST00000537046_77:875;ENST00000379441_0:1706_ENST00000537046_77:875;ENST00000551996_0:558_ENST00000445352_1454:2416;ENST00000549884_0:1698_ENST00000445352_1454:2416;ENST00000551812_0:1809_ENST00000445352_1454:2416;ENST00000379441_0:1706_ENST00000445352_1454:2416;ENST00000379441_0:1706_ENST00000348520_1580:15091;ENST00000551996_0:558_ENST00000553286_1520:3135;ENST00000551996_0:558_ENST00000557575_1520:2188;ENST00000551996_0:558_ENST00000347839_1520:2271;ENST00000551996_0:558_ENST00000555836_1520:2467;ENST00000551996_0:558_ENST00000334553_1520:2524;ENST00000549884_0:1698_ENST00000553286_1520:3135;ENST00000549884_0:1698_ENST00000557575_1520:2188;ENST00000549884_0:1698_ENST00000347839_1520:2271;ENST00000549884_0:1698_ENST00000555836_1520:2467;ENST00000549884_0:1698_ENST00000334553_1520:2524;ENST00000551812_0:1809_ENST00000347839_1520:2271;ENST00000551812_0:1809_ENST00000553286_1520:3135;ENST00000551812_0:1809_ENST00000557575_1520:2188;ENST00000551812_0:1809_ENST00000555836_1520:2467;ENST00000551812_0:1809_ENST00000334553_1520:2524;ENST00000379441_0:1706_ENST00000347839_1520:2271;ENST00000379441_0:1706_ENST00000553286_1520:3135;ENST00000379441_0:1706_ENST00000557575_1520:2188;ENST00000379441_0:1706_ENST00000555836_1520:2467;ENST00000379441_0:1706_ENST00000334553_1520:2524;ENST00000551996_0:558_ENST00000554280_1516:2426;ENST00000551996_0:558_ENST00000452929_1516:2453;ENST00000551996_0:558_ENST00000246489_1516:2294;ENST00000551996_0:558_ENST00000634686_1516:2229;ENST00000551996_0:558_ENST00000557450_1516:2265;ENST00000549884_0:1698_ENST00000389744_1530:3250;ENST00000551996_0:558_ENST00000348520_1580:15091;ENST00000379441_0:1706_ENST00000554280_1516:2426;ENST00000379441_0:1706_ENST00000246489_1516:2294;ENST00000379441_0:1706_ENST00000634686_1516:2229;ENST00000379441_0:1706_ENST00000557450_1516:2265;ENST00000379441_0:1706_ENST00000452929_1516:2453;ENST00000549884_0:1698_ENST00000348520_1580:15091;ENST00000551812_0:1809_ENST00000389744_1530:3250;ENST00000551812_0:1809_ENST00000348520_1580:15091;ENST00000549884_0:1698_ENST00000380038_1554:2322;ENST00000379441_0:1706_ENST00000380038_1554:2322;ENST00000551812_0:1809_ENST00000380038_1554:2322;ENST00000551996_0:558_ENST00000389744_1530:3250;ENST00000551996_0:558_ENST00000380038_1554:2322;ENST00000379441_0:1706_ENST00000389744_1530:3250;ENST00000551812_0:1809_ENST00000554280_1516:2426;ENST00000551812_0:1809_ENST00000246489_1516:2294;ENST00000551812_0:1809_ENST00000634686_1516:2229;ENST00000551812_0:1809_ENST00000557450_1516:2265;ENST00000551812_0:1809_ENST00000452929_1516:2453;ENST00000549884_0:1698_ENST00000554280_1516:2426;ENST00000549884_0:1698_ENST00000452929_1516:2453;ENST00000549884_0:1698_ENST00000246489_1516:2294;ENST00000549884_0:1698_ENST00000634686_1516:2229;ENST00000549884_0:1698_ENST00000557450_1516:2265
BAZ2A	ENSG00000076108	AL139300.1	ENSG00000256500	2	0	ENST00000551996_0:558_ENST00000472726_1778:2505;ENST00000549884_0:1698_ENST00000472726_1778:2505;ENST00000551812_0:1809_ENST00000472726_1778:2505;ENST00000379441_0:1706_ENST00000472726_1778:2505
FUS	ENSG00000089280	PPP1R8	ENSG00000117751	0	1	ENST00000373931_0:632_ENST00000568685_88:1785;ENST00000373931_0:632_ENST00000254108_129:5119;ENST00000236412_0:760_ENST00000568685_88:1785;ENST00000311772_0:321_ENST00000380244_100:1818;ENST00000431586_0:250_ENST00000254108_129:5119;ENST00000431586_0:250_ENST00000568685_88:1785;ENST00000373931_0:632_ENST00000380244_100:1818;ENST00000311772_0:321_ENST00000568685_88:1785;ENST00000236412_0:760_ENST00000254108_129:5119;ENST00000236412_0:760_ENST00000380244_100:1818;ENST00000431586_0:250_ENST00000380244_100:1818;ENST00000311772_0:321_ENST00000254108_129:5119
UBR4	ENSG00000127481	NUDT5	ENSG00000165609	0	1	ENST00000491614_0:355_ENST00000375254_204:15906;ENST00000378940_0:100_ENST00000375254_204:15906;ENST00000444732_0:76_ENST00000375254_204:15906;ENST00000537776_0:375_ENST00000375254_204:15906
TRAM1	ENSG00000067167	LMAN1	ENSG00000074695	2	0	ENST00000251047_0:1867_ENST00000262213_479:2785;ENST00000251047_0:1867_ENST00000521425_1088:3394
TRAM1	ENSG00000067167	DNAJB6	ENSG00000105993	0	1	ENST00000521425_0:1426_ENST00000417758_525:852;ENST00000262213_0:817_ENST00000441561_943:1022;ENST00000521425_0:1426_ENST00000262177_563:2527;ENST00000521425_0:1426_ENST00000429029_563:1609;ENST00000262213_0:817_ENST00000634080_358:1005;ENST00000521425_0:1426_ENST00000441561_943:1022;ENST00000262213_0:817_ENST00000417758_525:852;ENST00000262213_0:817_ENST00000262177_563:2527;ENST00000262213_0:817_ENST00000429029_563:1609;ENST00000521425_0:1426_ENST00000634080_358:1005
PDS5B	ENSG00000083642	SMYD3	ENSG00000185420	0	2	ENST00000315596_0:498_ENST00000391836_424:732;ENST00000315596_0:498_ENST00000630181_652:1458;ENST00000315596_0:498_ENST00000490107_742:1548
TTC7B	ENSG00000165914	ATL1	ENSG00000198513	0	1	ENST00000328459_0:243_ENST00000358385_275:2647;ENST00000553948_0:305_ENST00000358385_275:2647;ENST00000553948_0:305_ENST00000555960_355:620;ENST00000328459_0:243_ENST00000553509_472:527;ENST00000553948_0:305_ENST00000553509_472:527;ENST00000328459_0:243_ENST00000441560_515:2853;ENST00000553948_0:305_ENST00000441560_515:2853;ENST00000328459_0:243_ENST00000555960_355:620;ENST00000328459_0:243_ENST00000557735_214:570;ENST00000553948_0:305_ENST00000557735_214:570
KCTD3	ENSG00000136636	PGD	ENSG00000142657	0	1	ENST00000448333_0:184_ENST00000491493_685:806;ENST00000448333_0:174_ENST00000270776_557:1885;ENST00000448333_0:174_ENST00000491493_671:806;ENST00000259154_0:561_ENST00000491493_685:806;ENST00000259154_0:551_ENST00000491493_671:806;ENST00000448333_0:174_ENST00000460189_442:767;ENST00000259154_0:561_ENST00000270776_571:1885;ENST00000448333_0:184_ENST00000460189_456:767;ENST00000448333_0:174_ENST00000483936_90:680;ENST00000259154_0:561_ENST00000483936_104:680;ENST00000259154_0:561_ENST00000460189_456:767;ENST00000259154_0:551_ENST00000483936_90:680;ENST00000259154_0:551_ENST00000270776_557:1885;ENST00000259154_0:551_ENST00000460189_442:767;ENST00000448333_0:184_ENST00000483936_104:680;ENST00000448333_0:184_ENST00000270776_571:1885
ATRX	ENSG00000085224	MAGT1	ENSG00000102158	0	1	ENST00000610432_0:1150_ENST00000373344_235:11167;ENST00000610432_0:1150_ENST00000395603_235:10218;ENST00000358075_0:1175_ENST00000622960_389:628;ENST00000618282_0:1013_ENST00000624166_239:4272;ENST00000358075_0:1175_ENST00000624166_239:4272;ENST00000610432_0:1150_ENST00000624166_239:4272;ENST00000610432_0:1150_ENST00000624032_227:3071;ENST00000618282_0:1013_ENST00000624032_227:3071;ENST00000618282_0:1013_ENST00000395603_235:10218;ENST00000618282_0:1013_ENST00000373344_235:11167;ENST00000618282_0:1013_ENST00000622960_389:628;ENST00000610432_0:1150_ENST00000622960_389:628;ENST00000358075_0:1175_ENST00000624032_227:3071;ENST00000358075_0:1175_ENST00000395603_235:10218;ENST00000358075_0:1175_ENST00000373344_235:11167
IGFBP4	ENSG00000141753	SLC39A13	ENSG00000165915	0	1	ENST00000269593_0:905_ENST00000354884_1060:2289;ENST00000269593_0:907_ENST00000362021_1064:2296;ENST00000269593_0:905_ENST00000533076_1405:1805;ENST00000269593_0:907_ENST00000533076_1407:1805;ENST00000269593_0:905_ENST00000362021_1062:2296;ENST00000269593_0:907_ENST00000354884_1062:2289
IL18R1	ENSG00000115604	ATP5MC3	ENSG00000154518	0	1	ENST00000409194_0:459_ENST00000410040_1393:1749;ENST00000284727_0:3339_ENST00000409599_1626:3854;ENST00000392541_0:584_ENST00000233957_1416:3661;ENST00000284727_0:3339_ENST00000410040_1393:1749;ENST00000392541_0:584_ENST00000409599_1626:3854;ENST00000284727_0:3339_ENST00000233957_1416:3661;ENST00000409194_0:459_ENST00000409599_1626:3854;ENST00000392541_0:584_ENST00000410040_1393:1749;ENST00000409194_0:459_ENST00000233957_1416:3661
SCAF1	ENSG00000126461	KATNB1	ENSG00000140854	0	1	ENST00000360565_0:214_ENST00000379661_2213:2664;ENST00000598359_0:143_ENST00000379661_2213:2664;ENST00000601038_0:287_ENST00000379661_2213:2664;ENST00000595242_0:194_ENST00000379661_2213:2664
METTL22	ENSG00000067365	GTF3A	ENSG00000122034	0	1	ENST00000381140_0:756_ENST00000381920_1437:4984;ENST00000640289_0:562_ENST00000381920_1437:4984
NUP107	ENSG00000111581	RAP1B	ENSG00000127314	0	1	ENST00000378985_0:119_ENST00000229179_340:6457;ENST00000543393_0:125_ENST00000378905_123:2859;ENST00000543393_0:125_ENST00000229179_340:6457;ENST00000378985_0:119_ENST00000378905_123:2859
NDUFA2	ENSG00000131495	COL3A1	ENSG00000168542	0	1	ENST00000512088_0:276_ENST00000304636_2210:5543;ENST00000512088_0:276_ENST00000317840_2144:3873
TKT	ENSG00000163931	INTS8	ENSG00000164941	0	1	ENST00000296289_0:178_ENST00000523731_263:4633;ENST00000423525_0:165_ENST00000519457_272:581;ENST00000296289_0:178_ENST00000519457_272:581;ENST00000423525_0:165_ENST00000523731_263:4633;ENST00000462138_0:196_ENST00000523731_263:4633;ENST00000423516_0:187_ENST00000519457_272:581;ENST00000423516_0:187_ENST00000523731_263:4633;ENST00000462138_0:196_ENST00000519457_272:581
NNT	ENSG00000112992	GAS6	ENSG00000183087	2	0	ENST00000512996_0:1235_ENST00000327773_402:2490;ENST00000344920_0:1511_ENST00000327773_402:2490;ENST00000264663_0:1511_ENST00000327773_402:2490
MARCH7	ENSG00000136536	ZNF626	ENSG00000188171	0	1	ENST00000601440_0:373_ENST00000420397_306:983;ENST00000291750_0:376_ENST00000539065_2003:3303;ENST00000291750_0:376_ENST00000259050_2178:5922;ENST00000612591_0:287_ENST00000539065_2003:3303;ENST00000601440_0:373_ENST00000259050_2178:5922;ENST00000612591_0:287_ENST00000420397_306:983;ENST00000291750_0:376_ENST00000420397_306:983;ENST00000612591_0:287_ENST00000259050_2178:5922;ENST00000601440_0:373_ENST00000539065_2003:3303
ERGIC3	ENSG00000125991	HNRNPAB	ENSG00000197451	0	1	ENST00000358344_0:1030_ENST00000416206_906:1235;ENST00000504898_0:1040_ENST00000357394_940:1357;ENST00000358344_0:1030_ENST00000357394_940:1357;ENST00000506259_0:1063_ENST00000348547_942:1359;ENST00000514633_0:1002_ENST00000348547_942:1359;ENST00000355836_0:998_ENST00000357394_940:1357;ENST00000355836_0:998_ENST00000416206_906:1235;ENST00000504898_0:1040_ENST00000640748_541:832;ENST00000358344_0:1030_ENST00000640748_541:832;ENST00000506259_0:1063_ENST00000357394_940:1357;ENST00000504898_0:1040_ENST00000416206_906:1235;ENST00000514633_0:1002_ENST00000416206_906:1235;ENST00000514633_0:1002_ENST00000640748_541:832;ENST00000355836_0:998_ENST00000348547_942:1359;ENST00000514633_0:1002_ENST00000357394_940:1357;ENST00000514633_0:1002_ENST00000413587_869:977;ENST00000355836_0:998_ENST00000640748_541:832;ENST00000358344_0:1030_ENST00000413587_869:977;ENST00000506259_0:1063_ENST00000416206_906:1235;ENST00000506259_0:1063_ENST00000640748_541:832;ENST00000504898_0:1040_ENST00000413587_869:977;ENST00000355836_0:998_ENST00000413587_869:977;ENST00000506259_0:1063_ENST00000413587_869:977;ENST00000358344_0:1030_ENST00000348547_942:1359;ENST00000504898_0:1040_ENST00000348547_942:1359
OLA1	ENSG00000138430	SP3	ENSG00000172845	0	1	ENST00000418194_0:459_ENST00000344357_148:1656
PLOD3	ENSG00000106397	WDR41	ENSG00000164253	0	1	ENST00000507029_0:517_ENST00000223127_2187:2920;ENST00000296679_0:962_ENST00000223127_2187:2920
ADAM9	ENSG00000168615	CHTF8	ENSG00000168802	0	1	ENST00000518041_0:175_ENST00000481513_0:2387;ENST00000518041_0:175_ENST00000487273_0:3839;ENST00000448552_0:263_ENST00000481513_0:2387;ENST00000448552_0:263_ENST00000487273_0:3839;ENST00000522497_0:208_ENST00000481513_0:2387;ENST00000522497_0:208_ENST00000487273_0:3839;ENST00000398235_0:234_ENST00000487273_0:3839;ENST00000398235_0:234_ENST00000481513_0:2387
ADAM9	ENSG00000168615	PLEKHA2	ENSG00000169499	0	1	ENST00000487273_0:1380_ENST00000616927_863:1748;ENST00000487273_0:1380_ENST00000617275_1015:5582;ENST00000487273_0:1380_ENST00000616834_980:3594
COL12A1	ENSG00000111799	KDM5C	ENSG00000126012	2	0	ENST00000493109_0:359_ENST00000452825_1113:6096;ENST00000483888_0:7778_ENST00000452825_1113:6096;ENST00000345356_0:4315_ENST00000452825_1113:6096;ENST00000322507_0:8007_ENST00000452825_1113:6096;ENST00000425443_0:611_ENST00000452825_1113:6096;ENST00000615798_0:7863_ENST00000375383_1191:5122;ENST00000493109_0:359_ENST00000375383_1191:5122;ENST00000416123_0:7697_ENST00000375383_1191:5122;ENST00000345356_0:4315_ENST00000375383_1191:5122;ENST00000322507_0:8007_ENST00000375383_1191:5122;ENST00000345356_0:4315_ENST00000404049_1065:5677;ENST00000615798_0:7863_ENST00000375401_1314:6031;ENST00000615798_0:7863_ENST00000375379_1314:5245;ENST00000322507_0:8007_ENST00000404049_1065:5677;ENST00000483888_0:7778_ENST00000375401_1314:6031;ENST00000483888_0:7778_ENST00000375379_1314:5245;ENST00000425443_0:611_ENST00000375383_1191:5122;ENST00000425443_0:611_ENST00000375401_1314:6031;ENST00000425443_0:611_ENST00000375379_1314:5245;ENST00000416123_0:7697_ENST00000452825_1113:6096;ENST00000416123_0:7697_ENST00000375401_1314:6031;ENST00000416123_0:7697_ENST00000375379_1314:5245;ENST00000322507_0:8007_ENST00000375401_1314:6031;ENST00000322507_0:8007_ENST00000375379_1314:5245;ENST00000425443_0:611_ENST00000404049_1065:5677;ENST00000493109_0:359_ENST00000375401_1314:6031;ENST00000493109_0:359_ENST00000375379_1314:5245;ENST00000615798_0:7863_ENST00000452825_1113:6096;ENST00000345356_0:4315_ENST00000375401_1314:6031;ENST00000345356_0:4315_ENST00000375379_1314:5245;ENST00000483888_0:7778_ENST00000375383_1191:5122;ENST00000416123_0:7697_ENST00000404049_1065:5677;ENST00000483888_0:7778_ENST00000404049_1065:5677;ENST00000493109_0:359_ENST00000404049_1065:5677;ENST00000615798_0:7863_ENST00000404049_1065:5677
KBTBD2	ENSG00000170852	RASA3	ENSG00000185989	0	1	ENST00000334062_0:295_ENST00000452926_56:537;ENST00000334062_0:295_ENST00000423022_177:556;ENST00000334062_0:295_ENST00000304056_362:3745;ENST00000334062_0:295_ENST00000453627_297:724;ENST00000334062_0:295_ENST00000424468_242:593
KMT2E	ENSG00000005483	CLIP1	ENSG00000130779	0	1	ENST00000257745_0:2108_ENST00000648993_2019:2590;ENST00000311117_0:2267_ENST00000648993_2019:2590;ENST00000622386_0:1534_ENST00000648993_2019:2590
ERH	ENSG00000100632	COL1A1	ENSG00000108821	0	1	ENST00000225964_0:687_ENST00000557016_481:1124
